TopicID,NumberQuestions,PercTotalQuestions,Replied,Accepted,Unanswered,Favorite,NoResponse,Unrelated
0,160,1.695274423,84.375,40.625,41.875,80.625,15.625,1.875
1,406,4.301758847,93.84236453,55.66502463,30.54187192,66.25615764,6.157635468,7.63546798
2,535,5.66857385,82.80373832,47.28971963,33.64485981,67.47663551,17.19626168,1.869158879
3,417,4.418308964,83.45323741,52.75779376,28.53717026,74.34052758,16.54676259,2.158273381
4,242,2.564102564,89.66942149,54.54545455,31.40495868,77.27272727,10.33057851,3.719008264
5,88,0.932400932,89.77272727,54.54545455,34.09090909,67.04545455,10.22727273,1.136363636
6,99,1.048951049,86.86868687,41.41414141,44.44444444,85.85858586,13.13131313,1.01010101
7,226,2.394575122,73.89380531,44.69026549,27.87610619,76.99115044,26.10619469,1.327433628
8,50,0.529773257,82,46,34,76,18,2
9,1756,18.60563679,87.4715262,53.35990888,30.06833713,72.72209567,12.5284738,4.043280182
10,2263,23.97753761,88.77596111,51.70128148,33.27441449,69.20017676,11.22403889,3.800265135
11,401,4.248781522,86.53366584,49.3765586,35.91022444,70.57356608,13.46633416,1.246882793
12,682,7.226107226,94.57478006,58.35777126,28.0058651,68.62170088,5.425219941,9.530791789
13,98,1.038355584,81.63265306,30.6122449,44.89795918,86.73469388,18.36734694,6.12244898
14,227,2.405170587,84.5814978,50.66079295,32.15859031,66.51982379,15.4185022,1.762114537
15,328,3.475312566,83.23170732,44.20731707,38.1097561,70.73170732,16.76829268,0.914634146
16,354,3.75079466,87.28813559,51.1299435,35.02824859,69.20903955,12.71186441,0
17,29,0.307268489,68.96551724,44.82758621,24.13793103,75.86206897,31.03448276,13.79310345
18,486,5.149396058,95.0617284,70.57613169,21.81069959,58.84773663,4.938271605,2.674897119
19,113,1.197287561,83.18584071,38.05309735,44.24778761,85.84070796,16.81415929,0.884955752
20,185,1.960161051,76.75675676,49.72972973,25.94594595,69.72972973,23.24324324,1.081081081
21,108,1.144310235,79.62962963,43.51851852,36.11111111,74.07407407,20.37037037,0
22,36,0.381436745,77.77777778,50,27.77777778,75,22.22222222,0
23,149,1.578724306,87.91946309,48.32214765,38.9261745,72.48322148,12.08053691,0.67114094